# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
Zn_clus	PF00172.19	40	Vpol_PIP2	-	1089	1.50E-10	41.1	11.8	1	1	5.60E-14	2.60E-10	40.3	11.8	2	39	38	74	37	75	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
AdoHcyase	PF05221.18	299	Vpol_PIP2	-	1089	0.031	13.4	0.2	1	1	1.30E-05	0.061	12.5	0.2	151	230	90	174	70	194	0.77	S-adenosyl-L-homocysteine hydrolase
Ctr	PF04145.16	150	Vpol_PIP2	-	1089	0.17	12.5	1.4	1	2	3.9	1.80E+04	-3.8	0.2	65	83	106	124	82	156	0.41	Ctr copper transporter family
Ctr	PF04145.16	150	Vpol_PIP2	-	1089	0.17	12.5	1.4	2	2	5.30E-05	0.24	12	0.1	14	106	743	831	730	878	0.55	Ctr copper transporter family
DUF4834	PF16118.6	99	Vpol_PIP2	-	1089	7.1	7.7	7.2	1	2	0.91	4.10E+03	-1.2	1	48	78	105	138	82	144	0.62	Domain of unknown function (DUF4834)
DUF4834	PF16118.6	99	Vpol_PIP2	-	1089	7.1	7.7	7.2	2	2	0.00023	1.1	10.3	0.6	6	76	757	827	753	838	0.55	Domain of unknown function (DUF4834)
Zn_clus	PF00172.19	40	Tpha_PIP2	-	1233	2.70E-11	43.4	10.3	1	1	8.80E-15	5.40E-11	42.5	10.3	2	36	51	84	50	88	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
CCD48	PF15799.6	579	Tpha_PIP2	-	1233	0.082	11.3	1.6	1	1	2.10E-05	0.13	10.6	1.6	240	344	38	147	6	171	0.69	Coiled-coil domain-containing protein 48
HypA	PF01155.20	112	Tpha_PIP2	-	1233	0.48	10.5	3.6	1	1	0.00024	1.4	9	3.6	64	108	43	88	29	90	0.82	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
Zn_clus	PF00172.19	40	Tbla_PIP2	-	1275	2.20E-10	40.5	10	1	1	6.70E-14	4.10E-10	39.6	10	2	38	73	108	72	110	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
RIF5_SNase_1	PF18187.2	161	Tbla_PIP2	-	1275	0.046	13.8	0.1	1	2	0.25	1.60E+03	-1	0	70	124	846	903	821	914	0.76	TbRIF5 SNase domain 1
RIF5_SNase_1	PF18187.2	161	Tbla_PIP2	-	1275	0.046	13.8	0.1	2	2	3.80E-05	0.23	11.5	0.1	46	96	923	973	910	978	0.86	TbRIF5 SNase domain 1
Sigma54_DBD	PF04552.14	160	Tbla_PIP2	-	1275	0.14	11.9	0.1	1	3	0.87	5.30E+03	-3	0.1	139	160	257	280	243	280	0.68	Sigma-54, DNA binding domain
Sigma54_DBD	PF04552.14	160	Tbla_PIP2	-	1275	0.14	11.9	0.1	2	3	2.20E-05	0.14	11.9	0.1	25	117	837	929	831	942	0.92	Sigma-54, DNA binding domain
Sigma54_DBD	PF04552.14	160	Tbla_PIP2	-	1275	0.14	11.9	0.1	3	3	0.17	1.10E+03	-0.7	0.2	58	111	1063	1117	1058	1128	0.82	Sigma-54, DNA binding domain
Zn_clus	PF00172.19	40	Ndai_PIP2	-	1060	9.60E-11	41.7	9.7	1	1	9.30E-15	1.70E-10	40.9	9.7	2	39	52	88	51	89	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Ncas_PIP2	-	945	1.90E-10	40.7	9.5	1	1	3.50E-14	3.20E-10	40	9.5	2	38	39	74	38	76	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
ZapB	PF06005.13	71	Ncas_PIP2	-	945	0.88	10.1	4	1	3	0.00036	3.3	8.3	0.1	19	49	85	115	81	124	0.85	Cell division protein ZapB
ZapB	PF06005.13	71	Ncas_PIP2	-	945	0.88	10.1	4	2	3	0.42	3.80E+03	-1.5	0	5	18	570	583	567	584	0.81	Cell division protein ZapB
ZapB	PF06005.13	71	Ncas_PIP2	-	945	0.88	10.1	4	3	3	0.08	7.30E+02	0.8	0.3	17	39	733	755	731	759	0.82	Cell division protein ZapB
Zn_clus	PF00172.19	40	Knag_PIP2	-	949	6.30E-10	39	6.6	1	1	7.00E-14	1.30E-09	38.1	6.6	2	35	28	60	27	65	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Kfar_PIP2	-	952	4.90E-10	39.4	10.5	1	2	2.70E-14	4.90E-10	39.4	10.5	2	39	64	100	63	101	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Kfar_PIP2	-	952	4.90E-10	39.4	10.5	2	2	1	1.80E+04	-4.3	1.4	5	12	246	253	245	255	0.68	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Cgla_PIP2	-	1023	9.20E-11	41.7	10.1	1	1	1.00E-14	1.90E-10	40.7	10.1	2	39	22	58	21	59	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
